站名,省,经纬度,省内火车站数量
白桦排,内蒙古自治区,"124.19108,50.2355799999999",320
翠峰,内蒙古自治区,"124.280880999999,50.6150639999999",320
大扬气,内蒙古自治区,"124.192916,51.003627",320
古源,内蒙古自治区,"124.312786,50.929653",320
劲松,内蒙古自治区,"124.181788,51.0654919999999",320
小扬气,内蒙古自治区,"124.280433,50.793852",320
新天,内蒙古自治区,"124.23098,51.2914949999999",320
哈达,内蒙古自治区,"121.397964,45.080626",320
得耳布尔,内蒙古自治区,"121.071757,50.9915809999999",320
金河,内蒙古自治区,"121.492769,51.334415",320
库都尔,内蒙古自治区,"121.623651,50.0258609999999",320
岩山,内蒙古自治区,"121.241153999999,49.7088979999999",320
西岭口,内蒙古自治区,"121.477395,48.84707",320
嵯岗,内蒙古自治区,"118.091547,49.2546049999999",320
沟口,内蒙古自治区,"122.019919,48.6780949999999",320
大良,内蒙古自治区,"119.42547,49.176498",320
东宫,内蒙古自治区,"119.028409999999,49.160542",320
都伦,内蒙古自治区,"118.741873,49.1783069999999",320
陵丘,内蒙古自治区,"118.607129,49.1942809999999",320
乌兰丘,内蒙古自治区,"119.185033,49.1447569999999",320
莫尔道嘎,内蒙古自治区,"120.803162,51.2326649999999",320
索图罕,内蒙古自治区,"122.877843,50.6308879999999",320
大雁,内蒙古自治区,"120.545844,49.230383",320
阿乌尼,内蒙古自治区,"121.991257,51.948889",320
扎罗木得,内蒙古自治区,"120.428185,49.2154969999999",320
朝中,内蒙古自治区,"121.365951999999,50.9147049999999",320
牛耳河,内蒙古自治区,"121.731618999999,51.550915",320
阿龙山,内蒙古自治区,"121.872887,51.6865049999999",320
金林,内蒙古自治区,"121.261891,51.1414079999999",320
阿里河,内蒙古自治区,"123.729832,50.584698",320
布苏里,内蒙古自治区,"123.427042,50.559569",320
大杨树,内蒙古自治区,"124.609423,49.753199",320
春亭阁,内蒙古自治区,"124.485322999999,49.789194",320
大杨树东,内蒙古自治区,"124.653943,49.710205",320
甘河,内蒙古自治区,"123.049724,50.628241",320
吉文,内蒙古自治区,"123.208485,50.593274",320
克一河,内蒙古自治区,"122.493669,50.6563329999999",320
喀喇其,内蒙古自治区,"122.049237,50.700105",320
讷尔克气,内蒙古自治区,"124.247209,50.150905",320
朝阳村,内蒙古自治区,"124.321679,50.024183",320
乌鲁布铁,内蒙古自治区,"124.36736,49.8871389999999",320
根河,内蒙古自治区,"121.502504,50.7758559999999",320
满归,内蒙古自治区,"122.067387,52.03519",320
哈达阳,内蒙古自治区,"125.209293,49.3001089999999",320
哈力图,内蒙古自治区,"125.186885,49.3750679999999",320
红彦,内蒙古自治区,"124.975199,49.511788",320
杨木山,内蒙古自治区,"124.879783,49.56344",320
达拉滨,内蒙古自治区,"124.782139,49.6639699999999",320
汇流河,内蒙古自治区,"120.835373,49.2929869999999",320
赫尔洪得,内蒙古自治区,"118.458777,49.199927",320
乌固诺尔,内蒙古自治区,"119.319895,49.151856",320
哈克,内蒙古自治区,"120.075813,49.189604",320
海拉尔,内蒙古自治区,"119.733358,49.2268559999999",320
石门子,内蒙古自治区,"121.573235999999,48.544929",320
原林,内蒙古自治区,"121.388499999999,49.8848339999999",320
岭南,内蒙古自治区,"121.779172,50.209716",320
图里河,内蒙古自治区,"121.66773,50.482362",320
伊图里河,内蒙古自治区,"121.546014,50.6270829999999",320
岭北,内蒙古自治区,"121.754185,50.3058959999999",320
乌尔旗汗,内蒙古自治区,"121.38461,49.5696799999999",320
煤田,内蒙古自治区,"121.312813,49.4777259999999",320
牧原,内蒙古自治区,"121.126960999999,49.407215",320
东壕,内蒙古自治区,"117.641643,49.4993309999999",320
胪滨,内蒙古自治区,"117.539176,49.54773",320
满洲里,内蒙古自治区,"117.442149,49.5826629999999",320
扎赉诺尔,内蒙古自治区,"117.761422999999,49.442067",320
扎赉诺尔西,内蒙古自治区,"117.687066,49.470247",320
湖北,内蒙古自治区,"117.857032,49.382002",320
皇德,内蒙古自治区,"118.315579,49.231076",320
巴林,内蒙古自治区,"122.326504,48.3138089999999",320
喇嘛山,内蒙古自治区,"122.254857,48.3844479999999",320
雅鲁,内蒙古自治区,"122.137528,48.5478549999999",320
北头河,内蒙古自治区,"121.121106,49.0271159999999",320
博克图,内蒙古自治区,"121.909769999999,48.751852",320
新绰源,内蒙古自治区,"121.306985999999,48.2976329999999",320
哈拉沟,内蒙古自治区,"121.345355,48.825485",320
免渡河,内蒙古自治区,"121.060142,49.0977609999999",320
沙力,内蒙古自治区,"121.81331,48.767237",320
塔尔气,内蒙古自治区,"121.188077,47.984622",320
乌奴耳,内蒙古自治区,"121.242189,48.871527",320
小北,内蒙古自治区,"120.951791,49.1714389999999",320
新帐房,内蒙古自治区,"121.813622,50.1385",320
兴安岭,内蒙古自治区,"121.665871,48.819082",320
大其拉哈,内蒙古自治区,"121.748756,50.694785",320
牙克石,内蒙古自治区,"120.73107,49.277433",320
忠工屯,内蒙古自治区,"121.753427,48.6208859999999",320
成吉思汗,内蒙古自治区,"122.832926,47.746372",320
高台子,内蒙古自治区,"122.795537999999,47.93486",320
哈拉苏,内蒙古自治区,"122.421356,48.114386",320
南木,内蒙古自治区,"122.360093,48.1765479999999",320
扎兰屯,内蒙古自治区,"122.737188,48.015481",320
卧牛河,内蒙古自治区,"122.686072,48.078837",320
西里,内蒙古自治区,"112.069592,43.552179",320
齐哈日格图,内蒙古自治区,"112.350404,43.231583",320
赛乌苏,内蒙古自治区,"112.13558,43.474248",320
查干特格,内蒙古自治区,"112.236346,43.375123",320
夏拉哈马,内蒙古自治区,"112.387433,43.177559",320
民族,内蒙古自治区,"112.091361,40.893869",320
陶卜齐,内蒙古自治区,"112.034432,40.885714",320
乌兰胡同,内蒙古自治区,"109.862761,41.608356",320
包头东,内蒙古自治区,"110.018848,40.5689929999999",320
老羊壕,内蒙古自治区,"109.836113999999,41.3917679999999",320
额济纳,内蒙古自治区,"101.032086,41.897122",320
本井,内蒙古自治区,"105.906428,39.4028479999999",320
黑沙土,内蒙古自治区,"106.37611,39.4615459999999",320
巴彦高勒,内蒙古自治区,"107.015944,40.3319729999999",320
头道桥,内蒙古自治区,"107.140069999999,40.588393",320
临河,内蒙古自治区,"107.423383,40.742258",320
白彦花,内蒙古自治区,"109.290449,40.626797",320
乌拉山,内蒙古自治区,"108.772958,40.6561439999999",320
乌拉特前旗,内蒙古自治区,"108.645442,40.711922",320
公庙子,内蒙古自治区,"108.959264,40.623876",320
四分滩,内蒙古自治区,"107.707161,40.8691049999999",320
包头,内蒙古自治区,"109.830195,40.6050479999999",320
白云鄂博,内蒙古自治区,"109.952389,41.770895",320
东兴,内蒙古自治区,"110.189224,40.556035",320
公积坂,内蒙古自治区,"110.360636,40.55709",320
西斗铺,内蒙古自治区,"109.791203999999,41.220111",320
坝梁,内蒙古自治区,"109.765437,41.0893689999999",320
艾不盖,内蒙古自治区,"109.861666,41.5353619999999",320
瓦窑坝,内蒙古自治区,"109.800708,40.7395229999999",320
哈业胡同,内蒙古自治区,"109.437047,40.6247329999999",320
美岱召,内蒙古自治区,"110.739119,40.582638",320
萨拉齐,内蒙古自治区,"110.525634,40.5633419999999",320
沙日乃,内蒙古自治区,"120.555059,43.673081",320
道德,内蒙古自治区,"120.418891,43.7086949999999",320
准沙日乌苏,内蒙古自治区,"120.831114,43.6598639999999",320
福兴地,内蒙古自治区,"120.185777,43.748905",320
查布嘎,内蒙古自治区,"120.069613,43.8610219999999",320
西沟,内蒙古自治区,"97.96904,39.668427",320
宝木吐,内蒙古自治区,"118.769575,43.635748",320
大板,内蒙古自治区,"118.639743,43.529012",320
平顶庙,内蒙古自治区,"118.409632,43.591555",320
查干哈达,内蒙古自治区,"119.291956,43.7762249999999",320
达日其嘎,内蒙古自治区,"119.254587,43.8396139999999",320
林东,内蒙古自治区,"119.405931,43.9323699999999",320
衙门庙,内蒙古自治区,"119.53504,43.924266",320
公主埂,内蒙古自治区,"116.711398,42.925227",320
好鲁库,内蒙古自治区,"116.796752,42.989167",320
北井子,内蒙古自治区,"116.90758,43.027687",320
经棚,内蒙古自治区,"117.530906,43.2709449999999",320
马架子,内蒙古自治区,"117.34492,43.2271879999999",320
汗苏鲁,内蒙古自治区,"117.036806,43.068609",320
下坑子,内蒙古自治区,"117.562639,43.3207639999999",320
上店,内蒙古自治区,"117.630773,43.383678",320
嘎拉德斯汰,内蒙古自治区,"117.742705,43.468459",320
六地沟,内蒙古自治区,"117.699668,43.425662",320
宇宙地,内蒙古自治区,"117.858493999999,43.548155",320
温都和硕,内蒙古自治区,"118.304355,43.6010309999999",320
林西,内蒙古自治区,"118.074377,43.591022",320
杭锦旗,内蒙古自治区,"107.031460999999,40.268371",320
东胜西,内蒙古自治区,"109.871695,39.723132",320
毕克齐,内蒙古自治区,"111.272842,40.720908",320
察素齐,内蒙古自治区,"111.119381,40.7038969999999",320
哲里木,内蒙古自治区,"122.195049,43.631345",320
金家店,内蒙古自治区,"121.558167999999,43.6524969999999",320
开鲁,内蒙古自治区,"121.278978,43.630299",320
福巨,内蒙古自治区,"121.875983,43.6340489999999",320
陶思浩,内蒙古自治区,"110.9263,40.658223",320
乌海北,内蒙古自治区,"106.774655999999,39.7999069999999",320
黄白茨,内蒙古自治区,"106.768739999999,39.5424689999999",320
明安,内蒙古自治区,"109.803375,40.8541659999999",320
高家村,内蒙古自治区,"109.79174,40.979807",320
丰镇,内蒙古自治区,"113.156426,40.4340509999999",320
七苏木,内蒙古自治区,"113.185425,41.0778139999999",320
白音察干,内蒙古自治区,"113.17803,41.453597",320
宝拉格,内蒙古自治区,"113.140904,41.7008129999999",320
土牧尔台,内蒙古自治区,"113.138146,41.8488249999999",320
阿贵图,内蒙古自治区,"113.134159,41.7818449999999",320
芦家村,内蒙古自治区,"113.19641,41.3804749999999",320
乌兰哈达,内蒙古自治区,"113.181905,41.632209",320
土贵乌拉,内蒙古自治区,"113.198559,40.784388",320
红砂坝,内蒙古自治区,"113.205201,40.681828",320
新安庄,内蒙古自治区,"113.223847,40.530185",320
大陆号,内蒙古自治区,"113.277046,41.2050249999999",320
乌兰哈达,内蒙古自治区,"113.181905,41.632209",320
保健,内蒙古自治区,"113.100301,41.0293149999999",320
兴和,内蒙古自治区,"113.809338999999,40.8489969999999",320
苏集,内蒙古自治区,"113.106438999999,40.898387",320
石门村,内蒙古自治区,"109.783525999999,41.0365749999999",320
营盘湾,内蒙古自治区,"109.787062,40.923299",320
集宁南,内蒙古自治区,"113.092543,41.0296179999999",320
兴和西,内蒙古自治区,"113.806535999999,40.8479859999999",320
旗下营,内蒙古自治区,"112.14627,40.975337",320
卓资山,内蒙古自治区,"112.555131,40.9010559999999",320
八苏木,内蒙古自治区,"112.84156,40.9513859999999",320
福生庄,内蒙古自治区,"112.455457999999,40.9661779999999",320
姑家堡,内蒙古自治区,"112.614023,40.918773",320
马盖图,内蒙古自治区,"112.699106,40.905447",320
三道营,内蒙古自治区,"112.289214,40.9910849999999",320
十八台,内蒙古自治区,"112.811601999999,40.903466",320
卓资东,内蒙古自治区,"112.612932,40.922947",320
朱日和,内蒙古自治区,"112.892945,42.395791",320
巴彦郭勒,内蒙古自治区,"112.976335,42.1866709999999",320
白银哈尔,内蒙古自治区,"113.014838,42.117224",320
德日斯图,内蒙古自治区,"112.937807,42.339941",320
乌兰花,内蒙古自治区,"113.094191,41.998721",320
赛汉塔拉,内蒙古自治区,"112.65336,42.746324",320
查干芒和,内蒙古自治区,"115.456576,42.465842",320
贺日斯台,内蒙古自治区,"116.185177999999,42.781784",320
牙拉盖图,内蒙古自治区,"115.819823,42.623348",320
桑根达来,内蒙古自治区,"115.938922,42.68036",320
朝格温多尔,内蒙古自治区,"114.992756,42.213473",320
道仑郭勒,内蒙古自治区,"115.208716999999,42.350904",320
西胡尔清,内蒙古自治区,"115.149941,42.2681899999999",320
正镶白旗,内蒙古自治区,"115.034104,42.2792809999999",320
锡林浩特,内蒙古自治区,"116.020306,43.9169079999999",320
碱柜,内蒙古自治区,"106.757046,39.9398529999999",320
锡林呼都嘎,内蒙古自治区,"112.779685,42.5719009999999",320
郭尔奔敖包,内蒙古自治区,"112.464054,43.057147",320
楚鲁图,内蒙古自治区,"112.594784,42.8440439999999",320
星耀,内蒙古自治区,"114.890621999999,42.2087209999999",320
庆阳山,内蒙古自治区,"104.002713,37.590398",320
岳家井,内蒙古自治区,"104.280303,37.5810019999999",320
四道湾,内蒙古自治区,"119.634092999999,42.481465",320
白狼,内蒙古自治区,"120.094707,47.0472589999999",320
五叉沟,内蒙古自治区,"120.312931,46.768363",320
北兴安,内蒙古自治区,"120.02988,47.110567",320
南兴安,内蒙古自治区,"120.089879,47.136662",320
伊尔施,内蒙古自治区,"119.83244,47.287579",320
莲花山,内蒙古自治区,"119.729468,42.576906",320
孤山子,内蒙古自治区,"119.293848,41.641556",320
敖汉,内蒙古自治区,"119.995244,42.637115",320
新窝铺,内蒙古自治区,"120.39391,42.7114619999999",320
小河沿,内蒙古自治区,"119.542349,42.396548",320
三义井,内蒙古自治区,"120.245407,42.6986879999999",320
羊场,内蒙古自治区,"119.995244,42.637115",320
三把火,内蒙古自治区,"118.672044,42.2944809999999",320
曹家营子,内蒙古自治区,"109.84448,40.6234889999999",320
赤峰东,内蒙古自治区,"119.033461,42.281708",320
东南营子,内蒙古自治区,"119.131418,42.297953",320
赤峰,内蒙古自治区,"118.953314,42.254938",320
平庄南,内蒙古自治区,"119.250255,41.978921",320
乃林,内蒙古自治区,"119.273101999999,41.910336",320
五十家子,内蒙古自治区,"118.157933,42.0897399999999",320
赤峰西,内蒙古自治区,"118.896142,42.274174",320
天义,内蒙古自治区,"119.331365,41.593018",320
二龙,内蒙古自治区,"119.270436,41.696432",320
汐子,内蒙古自治区,"119.261516,41.790089",320
安庆沟,内蒙古自治区,"119.328064,42.4009229999999",320
老府,内蒙古自治区,"118.266436,42.1882129999999",320
杨家营,内蒙古自治区,"118.241794,42.1399309999999",320
中台子,内蒙古自治区,"118.356629,42.210402",320
北台子,内蒙古自治区,"118.822613,42.288153",320
红花沟,内蒙古自治区,"118.628489,42.242901",320
牛家营子,内蒙古自治区,"118.444188,42.215977",320
水地,内蒙古自治区,"119.15756,42.350171",320
风水沟,内蒙古自治区,"119.405336,42.3429659999999",320
山湾子,内蒙古自治区,"119.435863,42.351247",320
热水,内蒙古自治区,"117.689695,43.4754769999999",320
平庄,内蒙古自治区,"119.299245,42.038834",320
马林,内蒙古自治区,"119.178214,42.272395",320
元宝山,内蒙古自治区,"119.235592,42.232469",320
霍林郭勒,内蒙古自治区,"119.662756,45.5322099999999",320
扎鲁特,内蒙古自治区,"121.23307,44.6492819999999",320
布敦化,内蒙古自治区,"121.441884,44.969555",320
毛告吐,内蒙古自治区,"121.572215,44.3106909999999",320
舍伯吐,内蒙古自治区,"121.957465,44.0209509999999",320
大罕,内蒙古自治区,"122.946505,43.692103",320
大林,内蒙古自治区,"122.802460999999,43.714125",320
奈曼,内蒙古自治区,"120.670925999999,42.8391039999999",320
昆都庙,内蒙古自治区,"122.179771,43.6753829999999",320
高林屯,内蒙古自治区,"122.545875,43.868464",320
珠斯花,内蒙古自治区,"119.671255,45.562164",320
乌斯土,内蒙古自治区,"122.686178,43.7140619999999",320
东来,内蒙古自治区,"121.636538,43.3877039999999",320
通辽北,内蒙古自治区,"122.191379,43.6147339999999",320
通辽,内蒙古自治区,"122.265606,43.6028",320
余粮堡,内蒙古自治区,"121.963359,43.4377909999999",320
西六方,内蒙古自治区,"122.075627999999,43.484048",320
大青沟,内蒙古自治区,"122.182151,42.822391",320
甘旗卡,内蒙古自治区,"122.350230999999,42.9561629999999",320
金宝屯,内蒙古自治区,"123.57159,43.3806099999999",320
宝龙山,内蒙古自治区,"122.734671,44.0285689999999",320
保康,内蒙古自治区,"123.320518,44.125931",320
敖力布告,内蒙古自治区,"123.017757,44.24154",320
门达,内蒙古自治区,"123.106789,43.6483849999999",320
库伦,内蒙古自治区,"121.805651,42.721319",320
三家子,内蒙古自治区,"121.924938,42.761578",320
欧里,内蒙古自治区,"123.228345,43.591963",320
木里图,内蒙古自治区,"122.211277999999,43.46979",320
昂乃,内蒙古自治区,"120.75447,42.9872599999999",320
八仙筒,内蒙古自治区,"121.05704,43.1995969999999",320
黄花筒,内蒙古自治区,"120.953419,43.146064",320
白音他拉,内蒙古自治区,"120.827843,43.0709719999999",320
舍力虎,内蒙古自治区,"120.650222,42.7433309999999",320
东明村,内蒙古自治区,"121.222668,43.270808",320
敖来,内蒙古自治区,"121.174244,43.2550519999999",320
嘎什甸子,内蒙古自治区,"121.351592,43.308863",320
四合,内蒙古自治区,"120.523292,42.7183849999999",320
治安,内蒙古自治区,"121.503488,43.347889",320
钱家店,内蒙古自治区,"122.511712,43.712304",320
双泡子,内蒙古自治区,"122.163302,43.7152559999999",320
太平庄,内蒙古自治区,"121.858311,43.4178479999999",320
瓦房,内蒙古自治区,"121.737292,43.40706",320
云端,内蒙古自治区,"119.827516,45.560926",320
阿尔山,内蒙古自治区,"119.941694,47.1702999999999",320
西口,内蒙古自治区,"120.689223,46.7056309999999",320
牛汾台,内蒙古自治区,"120.241428,46.87176",320
葛根庙,内蒙古自治区,"122.299342999999,45.8937969999999",320
白海,内蒙古自治区,"121.048126999999,46.659249",320
白音胡硕,内蒙古自治区,"121.435775,45.013955",320
大石寨,内蒙古自治区,"121.383985999999,46.316146",320
德伯斯,内蒙古自治区,"121.363578,46.496492",320
归流河,内蒙古自治区,"121.726382,46.1984169999999",320
哈拉黑,内蒙古自治区,"121.519116999999,46.213596",320
索伦,内蒙古自治区,"121.235983,46.601129",320
西哲里木,内蒙古自治区,"120.596845,45.5503659999999",320
杜尔基,内蒙古自治区,"121.193085,45.2377809999999",320
哈日努拉,内蒙古自治区,"120.056486,45.6196819999999",320
吐列毛杜,内蒙古自治区,"120.882146,45.535904",320
宁家,内蒙古自治区,"122.162352,45.983159",320
卫东,内蒙古自治区,"122.234155,45.9277739999999",320
湖南,内蒙古自治区,"121.911337,46.1612259999999",320
乌兰浩特,内蒙古自治区,"122.057092,46.069025",320
四分地,内蒙古自治区,"118.550618,42.225047",320
八家子,吉林,"129.133182,42.665562",205
白河,吉林,"128.126206999999,42.45085",205
亮兵台,吉林,"128.772499,43.1886",205
南沟,吉林,"128.666647,43.2393179999999",205
采石场,吉林,"128.194825,46.91237",205
安图,吉林,"128.90206,43.1128339999999",205
茶条沟,吉林,"129.01141,43.0375149999999",205
乐园,吉林,"128.945618,43.070652",205
榆树川,吉林,"129.07811,42.981876",205
松江镇,吉林,"128.332502,42.569048",205
荒沟西,吉林,"128.365669,42.552162",205
白城,吉林,"122.857252,45.615138",205
到保,吉林,"123.164925999999,45.596297",205
平台,吉林,"122.653541,45.7172419999999",205
开通,吉林,"123.070815999999,44.803282",205
镇赉,吉林,"123.18893,45.8556969999999",205
白山市,吉林,"126.45155,41.950848",205
老营,吉林,"126.348394,41.8773929999999",205
松江河,吉林,"127.477663,42.175507",205
仙人桥,吉林,"127.234121,42.1738489999999",205
大东,吉林,"126.769934,42.076566",205
遥林,吉林,"126.6507,41.9159829999999",205
松树镇,吉林,"127.10921,42.052863",205
大安北,吉林,"124.233018,45.514785",205
安广,吉林,"123.772225,45.5734119999999",205
海坨子,吉林,"124.038315,45.2689189999999",205
大安,吉林,"124.257705,45.4932039999999",205
来福,吉林,"123.554503999999,45.5641979999999",205
两家,吉林,"123.940432,45.525903",205
建设,吉林,"124.174609,45.450468",205
中德,吉林,"125.766412,44.6151649999999",205
布海,吉林,"125.622831,44.3808429999999",205
丁家园,吉林,"125.81769,44.742072",205
姚家,吉林,"125.873941,44.776811",205
达家沟,吉林,"125.815634,44.656554",205
米沙子,吉林,"125.471179,44.1455649999999",205
沃皮,吉林,"125.525632,44.227226",205
德惠,吉林,"125.710729,44.5312419999999",205
德惠西,吉林,"125.671188,44.5439239999999",205
大兴镇,吉林,"125.376064,42.739026",205
东丰,吉林,"125.538465,42.6523109999999",205
白泉,吉林,"124.99545,42.9238319999999",205
平岗,吉林,"124.865061999999,42.9719029999999",205
渭津,吉林,"125.275874,42.7912589999999",205
大桥,吉林,"113.133353,24.996309",205
哈尔巴岭,吉林,"128.628597,43.265501",205
大石头,吉林,"128.495774,43.303631",205
敦化,吉林,"128.240122,43.377467",205
黄泥河,吉林,"128.011292999999,43.553229",205
秋梨沟,吉林,"128.144641,43.490842",205
太平岭,吉林,"128.200401,43.4155269999999",205
陶赖昭,吉林,"125.933048,44.8250019999999",205
扶余,吉林,"126.019114,44.985208",205
团山,吉林,"125.960646,44.905968",205
黄泥崴子,吉林,"127.260733,42.202646",205
砬子河,吉林,"127.693366999999,42.5105489999999",205
火炬沟,吉林,"128.020255999999,42.492282",205
露水河,吉林,"127.809071,42.511423",205
影壁山,吉林,"127.621855999999,42.442582",205
板石河,吉林,"127.535597,42.2771869999999",205
北岗,吉林,"127.578391999999,42.404902",205
柳毛沟,吉林,"127.541276,42.2053149999999",205
小山,吉林,"127.412240999999,42.2091989999999",205
氡泉,吉林,"127.170067,42.125731",205
二岔,吉林,"127.918387,42.49427",205
范家屯,吉林,"125.06878,43.7104229999999",205
公主岭南,吉林,"124.809629,43.471124",205
公主岭,吉林,"124.805954,43.5064849999999",205
陶家屯,吉林,"124.982733999999,43.6429899999999",205
八家子,吉林,"129.133182,42.665562",205
十里坪,吉林,"128.887896,42.44751",205
枕头峰,吉林,"128.587921999999,42.4847779999999",205
和龙,吉林,"128.988941,42.5534139999999",205
朝阳镇,吉林,"126.021742,42.68157",205
光辉,吉林,"126.179647,42.7099949999999",205
辉南,吉林,"126.014987,42.679462",205
杉松岗,吉林,"126.211444,42.5011129999999",205
团林,吉林,"126.109163,42.709104",205
孤店子,吉林,"126.356927,43.9794089999999",205
桦皮厂,吉林,"126.225915,43.994438",205
吉林,吉林,"126.571489,43.8564429999999",205
前窑,吉林,"126.61626,44.193272",205
蛟河,吉林,"127.34504,43.72303",205
大口钦,吉林,"126.575114,44.161344",205
丰广,吉林,"126.708729,44.248992",205
江密峰,吉林,"126.739217999999,43.9563309999999",205
棋盘,吉林,"126.551393,43.9662179999999",205
亚复,吉林,"126.532079,44.064208",205
双安屯,吉林,"126.335882,41.3766329999999",205
西阳岔,吉林,"126.283998999999,41.278308",205
集安,吉林,"126.205752,41.139907",205
林子头,吉林,"126.59384,41.948323",205
青沟子,吉林,"128.341134,43.793885",205
二道河,吉林,"126.89146,48.678637",205
白石山,吉林,"127.554571,43.579535",205
黄松甸,吉林,"127.722059,43.6395509999999",205
天岗,吉林,"126.94953,43.9021949999999",205
六道河,吉林,"127.072205,43.932189",205
老爷岭,吉林,"127.182869999999,43.9247629999999",205
小姑家,吉林,"127.254008,43.886715",205
龙嘉,吉林,"125.693847,43.9906539999999",205
九台,吉林,"125.831008,44.1477519999999",205
土们岭,吉林,"126.043188,44.1027869999999",205
九台南,吉林,"125.80544,44.020187",205
营城,吉林,"125.911858,44.137815",205
郭家店,吉林,"124.572115999999,43.339772",205
石岭,吉林,"124.697142,43.0886149999999",205
哈福,吉林,"124.52458,43.0907679999999",205
辽源,吉林,"125.122581,42.902462",205
大栗子,吉林,"126.817865,41.7350759999999",205
花山,吉林,"126.859641999999,41.880017",205
三队,吉林,"126.786458,41.916677",205
松岭,吉林,"126.74646,41.890681",205
葆园,吉林,"129.110691,42.9140549999999",205
铜佛寺,吉林,"129.231663,42.8754459999999",205
龙井,吉林,"129.407236,42.9007149999999",205
海龙,吉林,"125.836381,42.6528599999999",205
黑山头,吉林,"125.559,42.4349459999999",205
宝山,吉林,"125.627668,42.483085",205
龙山,吉林,"117.958506,40.1438509999999",205
山城镇,吉林,"125.426811,42.376302",205
梅河口,吉林,"125.679022,42.532594",205
哈拉海,吉林,"125.088627,44.6778869999999",205
柴岗,吉林,"125.118334,44.5579449999999",205
小合隆,吉林,"125.256077,44.031094",205
华家,吉林,"125.133283,44.2878169999999",205
开安,吉林,"125.192821,44.161723",205
农安,吉林,"125.317663999999,43.909413",205
明城,吉林,"126.010109,43.1915809999999",205
七间房,吉林,"126.005036,43.133664",205
石家,吉林,"126.130855999999,42.8580219999999",205
永宁,吉林,"126.028165,43.041189",205
烟筒山,吉林,"126.024744,43.284007",205
磐石,吉林,"126.062627,42.9255149999999",205
七家子,吉林,"124.947146,45.0301699999999",205
通途,吉林,"124.646403,45.1938219999999",205
二营子,吉林,"125.02276,44.793179",205
长山屯,吉林,"124.463003,45.3122729999999",205
工农湖,吉林,"123.619898,44.8554129999999",205
东富,吉林,"126.888524,44.3648719999999",205
吉舒,吉林,"126.79648,44.286039",205
平安,吉林,"127.167861,44.590476",205
舒兰,吉林,"126.94821,44.405852",205
茂林,吉林,"123.408263,43.965926",205
郑家屯,吉林,"123.510789,43.503214",205
四平,吉林,"124.366879,43.1655",205
四平东,吉林,"124.432466,43.135044",205
扶余北,吉林,"125.996818,45.006379",205
蔡家沟,吉林,"126.130623,45.116661",205
塔虎城,吉林,"124.344258999999,45.389609",205
王府,吉林,"125.001008,44.8720399999999",205
官字井,吉林,"123.796167999999,45.002822",205
乾安,吉林,"123.873677,45.097354",205
松原,吉林,"124.810415,45.1075149999999",205
巨宝,吉林,"123.474113,44.714021",205
太平川,吉林,"123.179115,44.39748",205
洮南,吉林,"122.803197999999,45.338472",205
黑水,吉林,"122.818123,45.212035",205
通化,吉林,"125.974478,41.750939",205
东通化,吉林,"126.038313,41.76849",205
郑家堡,吉林,"125.834374999999,42.2412509999999",205
通沟,吉林,"125.713643,41.9495969999999",205
三源浦,吉林,"125.753872,42.053438",205
驼腰岭,吉林,"125.897341999999,42.179451",205
五道沟,吉林,"125.870264,42.134832",205
柳河,吉林,"125.758887,42.2871889999999",205
石湖,吉林,"126.284887,41.509791",205
二密河,吉林,"125.824381,41.786757",205
干沟,吉林,"125.716483999999,41.8595419999999",205
万隆,吉林,"126.214586999999,41.655379",205
通化县,吉林,"125.815423999999,41.6769159999999",205
老岭,吉林,"126.29429,41.409039",205
图们,吉林,"129.834519,42.9632149999999",205
石岘,吉林,"129.775755,43.0760149999999",205
曲水,吉林,"129.788904,42.9903959999999",205
河南,吉林,"120.855523,42.067214",205
磨盘山,吉林,"129.608326,42.9351339999999",205
水礼,吉林,"129.729011,43.009363",205
苇子沟,吉林,"129.670331,43.028877",205
春阳,吉林,"129.436693999999,43.712243",205
大兴沟,吉林,"129.655946,43.4099999999999",205
庙岭,吉林,"129.658818999999,43.50018",205
天桥岭,吉林,"129.626331999999,43.5843709999999",205
汪清,吉林,"129.733579999999,43.330229",205
朝阳川,吉林,"129.441751,42.8870969999999",205
溪洞,吉林,"129.589798,42.9083609999999",205
延吉,吉林,"129.489938,42.884436",205
口前,吉林,"126.491112,43.6638459999999",205
双河镇,吉林,"126.176852,43.46526",205
刘家店,吉林,"126.302854,44.8009879999999",205
榆树,吉林,"126.529144,44.81512",205
五棵树,吉林,"126.154713,44.7993469999999",205
谢家镇,吉林,"126.806843,44.5666459999999",205
新立镇,吉林,"126.721703,44.6913509999999",205
大屯,吉林,"125.158131,43.778081",205
长春南,吉林,"125.253367999999,43.8487149999999",205
长春东,吉林,"125.358382,43.8932629999999",205
龙家堡,吉林,"125.643458,44.065165",205
兴隆山,吉林,"125.462324,43.953991",205
卡伦,吉林,"125.549853,44.020676",205
长春西,吉林,"125.193521,43.875235",205
长春,吉林,"125.317663999999,43.909413",205
庆丰,吉林,"123.355877,44.6048499999999",205
左家,吉林,"126.079673,44.0678399999999",205
一间堡,吉林,"125.352555,43.999743",205
台前,河南,"115.857898,35.964046",95
夏邑县站,河南,"116.024835,34.4113079999999",95
虞城县站,河南,"115.859053,34.407916",95
潢川,河南,"115.096635,32.113908",95
漯河西,河南,"113.957537,33.5746079999999",95
